document_id,term,frequency
9,pedir,2
10,pedir,2
10,pelvico,3
1,pequenar,1
5,pequenar,1
3,perder,2
8,perder,1
6,perdida_apetito,6
8,perdida_apetito,6
1,perdida_peso,7
3,perdida_peso,10
5,perdida_peso,8
6,perdida_peso,7
7,perdida_peso,6
8,perdida_peso,9
9,perdida_peso,1
7,periodo,2
10,periodo,2
3,persistente,1
9,persistente,2
1,personal,1
3,personal,1
10,personal,1
5,pertinente,1
10,pertinente,1
2,pezon,6
2,pezon_invertido,6
1,philadelphia,3
4,picazon,5
8,picazon,1
1,piel,2
2,piel,3
3,piel,2
4,piel,97
5,piel,2
6,piel,1
7,piel,1
8,piel,5
9,piel,1
10,piel,2
1,pierna,1
4,pierna,3
5,pierna,1
8,pierna,2
10,plano,2
4,planta,1
7,planta,1
9,plaqueta,2
7,poblacion,2
10,poblacion,1
5,podriar,2
6,podriar,1
10,podriar,1
1,podrio,1
3,podrio,1
5,podrio,4
8,podrio,1
10,podrio,5
3,polipo,9
1,politico,1
3,politico,1
4,politico,1
5,politico,1
9,politico,1
10,politico,1
1,poner,1
8,poner,2
7,porcentaje,2
10,porcentaje,1
3,posibilidad,1
5,posibilidad,2
10,posibilidad,1
7,positivo,2
5,potente,1
10,potente,1
1,practicar,2
7,prb,3
1,preguntar,1
3,preguntar,1
6,preguntar,1
8,preguntar,1
10,preguntar,2
5,presencia,2
7,presencia,1
1,presion,2
2,presionar,1
8,presionar,4
1,prevencion,2
3,prevencion,2
4,prevencion,1
5,prevencion,1
6,prevencion,1
8,prevencion,1
10,prevencion,2
1,prevenir,1
3,prevenir,2
4,prevenir,1
5,prevenir,2
6,prevenir,1
8,prevenir,1
10,prevenir,4
9,principalmente,2
3,principio,1
5,principio,1
9,principio,1
1,principl,2
5,privacion,2
1,probabilidad,2
2,probabilidad,1
4,probabilidad,3
5,probabilidad,4
10,probabilidad,2
1,probable,2
3,probable,1
4,probable,2
7,probable,1
10,probable,1
1,problema,7
10,problema,2
1,procedimiento,2
7,procedimiento,2
10,procedimiento,1
3,procesado,1
7,procesado,1
7,produccion,7
9,produccion,1
7,producido,4
8,producido,1
1,profundo,1
8,profundo,1
10,profundo,2
