term,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_7,doc_8,doc_9,doc_10
haz,0,0,2,0,3,0,0,0,0,3
hcc,0,0,0,0,0,0,14,0,0,0
health,1,0,3,2,1,0,0,0,0,1
heces_claras,0,0,0,0,0,0,6,0,0,0
hecho,0,0,0,0,1,0,2,0,0,0
hellmar,2,0,0,0,0,0,0,0,0,0
hematomar,1,0,0,0,0,0,0,0,1,0
hepatitis,0,0,0,0,0,0,10,1,0,0
hepatoblasto,0,0,0,0,0,0,3,0,0,0
hepatoblastomar,0,0,0,0,0,0,5,0,0,0
hepatocelular,0,0,0,0,0,0,4,0,0,0
hepatocito,0,0,0,0,0,0,3,0,0,0
heredar,0,0,0,0,1,0,1,0,0,0
hereditario,0,0,2,0,0,0,0,0,0,0
hermano,0,0,0,1,1,0,0,0,0,0
hez,0,0,1,0,0,2,0,5,0,0
higado,1,0,0,0,0,1,45,9,1,0
hijo,0,0,0,0,1,0,1,0,0,0
hinchazon,2,0,1,0,0,1,1,1,0,0
hinchazon_abdominal,0,0,0,0,0,0,6,0,0,0
hinchazon_mama,0,5,0,0,0,0,0,0,0,0
hipercalcemiar,2,0,0,0,0,0,0,0,0,0
hombr,0,0,0,0,1,0,1,0,0,0
hombro,2,0,0,0,0,0,0,0,0,0
hongo,0,0,0,0,0,0,2,0,0,0
hora,0,0,0,2,0,0,0,0,0,0
hormona,6,0,0,0,2,0,2,0,0,0
hormonar,2,0,0,0,0,0,0,0,0,0
horner,2,0,0,0,0,0,0,0,0,0
hueso,2,0,0,0,2,0,0,0,1,0
humphreys,0,0,0,0,2,0,0,0,0,0
ictericia,0,0,0,0,0,0,8,8,0,0
ictericio,1,0,0,0,0,1,1,9,0,0
igual,0,0,0,0,1,0,1,0,0,0
importancia,0,0,0,0,0,0,1,0,0,1
impreciso,0,0,0,0,0,1,0,0,1,0
incidencia,0,0,0,0,0,0,5,0,0,0
incluido,1,0,0,0,0,0,3,0,0,0
incluso,1,0,0,0,3,0,0,0,1,0
incontinencia,0,0,0,0,2,0,0,0,0,0
indicio,0,3,0,0,0,0,0,0,0,0
indigestion,0,0,0,0,0,6,0,0,0,0
indiz,1,0,0,0,1,1,0,1,0,0
infeccion,1,1,0,1,0,1,3,0,9,13
inferior,0,0,0,2,0,0,0,0,0,1
inflamacion,0,2,0,0,0,0,1,0,0,0
inflamatorio,0,1,2,0,0,0,0,0,0,0
informar,0,0,0,3,1,0,1,0,0,0
informartar,0,0,0,0,1,0,0,0,0,1
informativo,0,0,1,1,0,0,0,0,0,0
informe,2,0,0,0,0,0,2,0,0,0
ingesto,0,0,0,0,1,0,1,0,0,0
ingl,3,0,1,1,2,0,0,2,1,1
inicial,0,0,0,0,1,2,1,1,0,0
inmediato,3,0,0,0,1,0,0,0,0,0
inmunoterapia,1,0,0,0,0,0,0,1,0,1
inmunoterapio,1,0,1,0,0,1,0,0,0,0
instruccion,0,0,1,3,2,0,1,0,1,1
instrumento,0,0,0,0,0,0,0,0,0,2
insulin,0,0,1,0,0,0,3,1,0,0
integral,0,0,2,0,1,0,0,0,0,0
interior,0,0,1,1,0,0,1,0,0,0
